@RELATION unknow
@ATTRIBUTE a1 integer [27, 126]
@ATTRIBUTE a2 integer [-4821, 5075]
@ATTRIBUTE a3 integer [21, 149]
@ATTRIBUTE a4 integer [-3939, 3830]
@ATTRIBUTE a5 integer [-188, 436]
@ATTRIBUTE a6 integer [-13839, 13148]
@ATTRIBUTE a7 integer [-48, 105]
@ATTRIBUTE a8 integer [-353, 270]
@ATTRIBUTE a9 integer [-356, 266]
@ATTRIBUTE class {1,2,3,4,5,6,7}
@DATA
55, 4, 77, 0, 26, -15, 22, 52, 30, 4
44, 0, 77, 2, 42, -17, 34, 36, 2, 1
37, 0, 82, 0, 34, 23, 45, 48, 2, 1
37, 0, 80, 0, 10, 23, 43, 70, 26, 1
51, -4, 83, 0, 50, -6, 32, 34, 2, 1
44, -1, 81, 1, 44, 6, 37, 37, 0, 1
45, -2, 87, 0, 44, -3, 42, 43, 2, 1
41, -2, 83, 0, 42, 6, 42, 41, 0, 1
54, -2, 86, 0, 54, 0, 33, 32, 0, 1
37, 0, 77, 0, 36, 5, 39, 41, 2, 1
55, 0, 77, 0, 36, 3, 22, 41, 20, 4
51, 0, 81, 0, 52, 27, 30, 29, 0, 1
37, -3, 77, 0, -2, 0, 40, 79, 40, 1
106, 2, 108, 8, 70, -30, 2, 38, 36, 5
37, 0, 76, 0, 34, -10, 40, 43, 2, 1
55, 0, 79, 1, 12, 0, 23, 66, 42, 4
38, -3, 78, 0, 38, 0, 40, 39, 0, 1
55, 0, 79, 0, 6, 11, 23, 74, 50, 4
37, 0, 78, 0, 24, -15, 41, 55, 14, 1
46, -1, 77, 0, 46, 11, 32, 31, 0, 1
38, 0, 102, 0, 36, -23, 64, 66, 2, 1
41, 0, 81, -3, 42, 0, 40, 40, 0, 1
37, 0, 79, 0, 18, -13, 43, 61, 18, 1
43, -1, 81, 3, 42, -16, 37, 39, 2, 1
51, 0, 107, -2, 50, 0, 56, 58, 2, 1
106, -2, 108, 0, 70, 0, 1, 38, 36, 5
37, 0, 84, 0, 30, 19, 47, 53, 6, 1
81, -5, 86, 0, -22, 0, 4, 109, 104, 5
56, 0, 97, 5, 52, -12, 41, 45, 4, 4
49, 0, 77, -5, 46, -30, 28, 31, 2, 1
50, 0, 78, -3, 50, 0, 28, 29, 2, 1
48, 2, 81, -1, 46, 0, 33, 34, 2, 1
37, 0, 79, 0, 8, 27, 43, 72, 28, 1
43, 0, 87, 0, 44, 21, 44, 43, 0, 1
46, 0, 76, 0, 44, -12, 30, 32, 2, 1
42, -15, 76, 0, 42, 0, 34, 35, 2, 1
56, 0, 97, 0, 44, -2, 41, 53, 12, 4
55, 0, 92, 0, -4, -18, 36, 97, 60, 4
37, 0, 76, 0, 20, 26, 40, 55, 16, 1
51, 0, 86, 0, 52, 14, 35, 35, 0, 1
37, 0, 79, 0, 6, 5, 42, 74, 32, 1
42, 2, 77, 3, 42, 0, 35, 36, 2, 1
37, 0, 78, 0, 10, 7, 41, 68, 26, 1
46, 2, 81, 1, 46, 14, 35, 35, 0, 1
76, 3, 80, 0, -40, 0, 4, 121, 118, 5
50, 0, 79, 7, 50, 0, 28, 30, 2, 1
56, 0, 96, 0, 38, -15, 40, 57, 18, 4
37, -2, 106, 0, 36, 0, 70, 70, 0, 1
51, 0, 109, 0, 52, 19, 58, 58, 0, 1
44, -1, 82, 0, 44, 11, 38, 38, 0, 1
63, 0, 112, 5, 62, 0, 49, 50, 0, 1
41, 0, 79, -3, 42, 18, 38, 37, 0, 1
37, 4, 79, 0, 18, -6, 41, 61, 20, 1
43, 0, 87, 8, 42, -5, 44, 46, 2, 1
47, 0, 77, -4, 46, 0, 29, 30, 0, 1
37, 5, 75, 0, 34, 5, 37, 41, 4, 1
55, 0, 84, 5, 54, 0, 29, 30, 0, 1
43, 0, 79, 0, 44, 26, 35, 35, 0, 1
45, 1, 88, 0, 44, 201, 42, 44, 2, 1
55, 0, 79, -5, 20, 0, 23, 58, 34, 4
56, 0, 79, 0, 6, -15, 24, 74, 50, 4
53, 0, 91, 0, 54, 15, 38, 37, 0, 1
41, 0, 86, -1, 42, 9, 45, 44, 0, 1
37, 0, 104, 0, 24, 9, 67, 80, 14, 1
37, 0, 77, 0, 6, 22, 40, 72, 32, 1
56, 0, 81, 0, 2, -6, 25, 78, 54, 4
40, 0, 84, 8, 38, 0, 44, 45, 2, 1
45, -3, 86, 0, 44, 0, 42, 42, 0, 1
37, 0, 97, -1, 34, 4, 60, 64, 4, 1
37, 0, 79, 0, 36, 3, 41, 43, 2, 1
52, 2, 83, 0, 52, 0, 31, 32, 0, 1
37, -26, 106, 0, 30, 0, 69, 75, 6, 1
43, 0, 81, -3, 42, -15, 37, 39, 2, 1
55, 0, 93, 2, 0, 0, 38, 93, 56, 4
41, -2, 76, 0, 42, 23, 35, 35, 0, 1
45, 0, 83, 6, 46, 17, 37, 36, 0, 1
47, 0, 81, 3, 46, 0, 34, 34, 0, 1
37, 0, 76, 5, 24, 0, 40, 53, 14, 1
47, 5, 106, 0, 46, 0, 60, 60, 0, 1
48, -1, 88, 0, 46, -4, 40, 42, 2, 1
54, 0, 82, 1, 54, 0, 28, 28, 0, 1
72, 21, 82, 0, -42, -1, 10, 126, 116, 2
41, 4, 78, 0, 42, 12, 37, 37, 0, 1
56, 0, 77, 0, 46, -6, 22, 31, 10, 4
38, 2, 76, 0, 38, 2, 38, 37, 0, 1
48, 0, 88, -3, 46, -7, 40, 42, 2, 1
44, -1, 80, 0, 44, 0, 36, 36, 0, 1
50, 5, 77, 0, 50, 0, 27, 28, 0, 1
84, 0, 88, 0, -2, -19, 3, 90, 88, 5
38, -4, 76, -2, 38, 0, 37, 37, 0, 1
46, 0, 76, 0, 46, 0, 29, 29, 0, 1
82, 0, 87, 1, -40, 4, 5, 128, 124, 5
47, -1, 86, 0, 46, 0, 40, 40, 0, 1
37, 0, 95, -5, 28, 0, 58, 67, 8, 1
37, 0, 80, 0, 10, 28, 43, 70, 26, 1
49, 1, 77, 0, 46, -2, 29, 31, 2, 1
41, 0, 79, 2, 38, -4, 39, 41, 2, 1
37, 0, 78, 0, 10, -10, 41, 68, 26, 1
51, -5, 81, 0, 52, 0, 29, 29, 0, 1
56, 0, 96, 0, 52, -8, 40, 44, 4, 4
56, 0, 98, 0, 44, 4, 42, 54, 12, 4
41, 0, 81, -5, 42, 0, 40, 40, 0, 1
49, 0, 88, 0, 50, 7, 40, 39, 0, 1
37, 0, 76, -2, 34, 0, 40, 43, 2, 1
101, 0, 102, 0, 72, 15, 1, 29, 28, 5
55, 0, 79, 0, 12, -9, 23, 66, 42, 4
43, 0, 86, -5, 42, 0, 44, 45, 2, 1
55, 0, 97, -2, 50, -3, 42, 48, 6, 4
41, 0, 89, 0, 42, 11, 48, 48, 0, 1
39, -9, 78, 0, -2, -28, 39, 81, 42, 1
55, 0, 83, 6, 54, 0, 28, 29, 0, 1
39, 2, 86, 0, 38, 0, 47, 48, 0, 1
55, -3, 76, 0, -18, 0, 21, 94, 74, 4
53, 0, 86, 0, 52, -9, 33, 34, 2, 1
45, 0, 82, -3, 44, 0, 37, 38, 0, 1
37, 0, 77, 7, 24, 0, 40, 54, 14, 1
37, 0, 106, 1, 20, -5, 69, 85, 16, 1
52, 0, 78, -2, 52, -2, 26, 26, 0, 1
60, 4, 87, 0, 60, 0, 27, 28, 0, 1
47, 0, 84, -1, 46, 0, 38, 38, 0, 1
43, 0, 77, 0, 44, 25, 34, 34, 0, 1
41, 0, 85, 0, 38, -11, 44, 46, 2, 1
85, 0, 88, 4, 6, 0, 3, 83, 80, 5
43, -5, 86, 0, 42, -12, 43, 45, 2, 1
37, 0, 79, 0, 8, 11, 42, 71, 30, 1
37, 0, 100, 0, 36, -10, 63, 64, 2, 1
45, 0, 85, 1, 46, 23, 40, 39, 0, 1
46, 5, 79, 0, 46, 20, 33, 32, 0, 1
44, 0, 86, 0, 44, 27, 42, 42, 0, 1
56, 0, 76, 0, -12, -20, 20, 89, 68, 4
44, 0, 81, 7, 42, -12, 38, 40, 2, 1
37, 0, 78, 3, 26, -2, 42, 52, 10, 1
48, 0, 76, 0, 46, 0, 28, 30, 2, 1
55, -2, 98, -6, 46, -9, 42, 51, 8, 4
37, 0, 77, 5, 36, 2, 40, 41, 0, 1
43, -5, 76, 0, 42, 0, 33, 35, 2, 1
54, -5, 81, 5, 54, 0, 27, 27, 0, 1
42, 0, 81, 0, 42, 7, 39, 40, 0, 1
44, 0, 87, -6, 44, 0, 43, 43, 0, 1
37, 0, 105, 0, 34, 1, 68, 71, 4, 1
39, 3, 83, 0, 38, 0, 44, 44, 0, 1
49, -4, 101, 1, 50, 9, 52, 52, 0, 1
37, 0, 77, -6, 26, 12, 40, 51, 10, 1
57, 0, 91, 0, 56, 0, 34, 34, 0, 1
78, 1, 82, 4, -42, 0, 4, 126, 122, 5
37, 0, 79, 0, 36, 11, 43, 43, 0, 1
46, 3, 81, 0, 46, 5, 35, 34, 0, 1
78, 5, 81, 0, -42, 0, 4, 125, 122, 5
45, 0, 88, -3, 44, 0, 43, 44, 2, 1
38, 0, 109, 0, 36, -24, 72, 73, 2, 1
39, 0, 79, 2, 38, 0, 41, 41, 0, 1
46, -3, 107, 0, 46, 0, 61, 60, 0, 1
56, 0, 76, 0, -10, 3, 20, 86, 66, 4
83, 0, 86, 0, -4, 19, 3, 92, 88, 5
53, -2, 88, 0, 54, 3, 34, 33, 0, 1
41, 3, 86, 0, 38, -19, 45, 48, 2, 1
55, 0, 93, 0, 42, -26, 37, 51, 14, 4
46, 0, 78, 0, 44, -18, 32, 34, 2, 1
42, 0, 79, 6, 42, 0, 37, 38, 2, 1
56, 0, 81, 0, -10, 4, 25, 92, 66, 4
55, 0, 95, 0, 44, 24, 40, 51, 12, 4
43, 0, 86, -5, 42, -13, 42, 44, 2, 1
40, -5, 81, 2, 38, 0, 41, 42, 2, 1
37, 0, 75, -1, 26, 0, 38, 49, 10, 1
55, 0, 77, 0, -24, 2, 21, 103, 82, 4
37, -4, 77, 0, -2, 0, 40, 79, 40, 1
49, 1, 88, 0, 50, 29, 39, 39, 0, 1
43, -5, 109, 0, 42, 0, 66, 67, 2, 1
37, -1, 77, 2, 38, 8, 39, 38, 0, 1
39, 1, 84, 0, 38, 0, 45, 46, 0, 1
47, 3, 90, 0, 46, 0, 42, 43, 0, 1
37, 0, 75, 0, 28, -10, 38, 46, 8, 1
56, 0, 92, -4, 50, 0, 36, 42, 6, 4
58, -5, 82, 0, 56, 0, 24, 25, 0, 1
55, 0, 93, 0, 10, -14, 37, 82, 46, 4
56, 0, 77, 0, 46, -4, 22, 31, 10, 4
37, 0, 77, 0, 8, -3, 40, 69, 30, 1
53, 0, 84, 0, 54, 26, 31, 30, 0, 1
53, 1, 79, 0, 54, 14, 26, 24, 0, 1
37, 1, 97, 0, 30, -13, 60, 66, 6, 1
36, -5, 76, 0, 36, 0, 40, 40, 0, 1
55, 1, 72, -8, 0, 1, 17, 72, 56, 4
102, 0, 103, 3, 72, 25, 1, 31, 30, 5
56, 0, 78, -6, 6, 0, 22, 73, 50, 4
37, 2, 76, -2, 20, 0, 39, 55, 16, 1
41, 0, 84, 1, 38, -5, 43, 45, 2, 1
37, 0, 106, 0, 36, -20, 68, 69, 2, 1
56, 0, 97, 0, 50, 5, 41, 48, 6, 4
37, 0, 76, -5, 24, 0, 40, 53, 14, 1
42, -3, 108, 0, 42, 0, 66, 66, 0, 1
57, 5, 86, 0, 56, 0, 29, 29, 0, 1
37, 0, 80, 0, 8, 29, 43, 72, 30, 1
50, -5, 77, 0, 50, 0, 27, 28, 2, 1
58, 0, 85, 1, 56, 0, 28, 28, 0, 1
37, 0, 107, 0, 30, 25, 69, 76, 6, 1
106, 4, 108, 2, 70, 0, 1, 38, 36, 5
49, 0, 77, 0, 50, 14, 29, 28, 0, 1
51, 0, 82, 0, 52, 29, 31, 30, 0, 1
55, 0, 82, 0, -36, -9, 26, 118, 92, 4
56, 0, 96, 3, 50, 8, 40, 47, 6, 4
37, 0, 101, 6, 28, -19, 64, 73, 8, 1
37, 0, 90, 0, 28, -20, 53, 62, 8, 1
39, -3, 77, -3, 38, 0, 38, 39, 0, 1
37, 0, 104, 0, 26, -17, 67, 78, 12, 1
55, 0, 97, 6, 50, 14, 41, 48, 6, 4
55, 0, 86, 0, 54, -16, 30, 32, 2, 1
70, -30, 107, 0, 60, -13, 37, 47, 10, 3
55, 0, 77, 0, 24, -5, 21, 54, 32, 4
48, 4, 94, 0, 46, 0, 46, 48, 2, 1
37, 0, 77, 0, 24, 16, 40, 54, 14, 1
56, 0, 91, 0, -4, -22, 35, 96, 62, 4
56, 0, 79, 0, 54, -13, 23, 24, 2, 1
37, 0, 78, 0, 8, -16, 42, 70, 28, 1
42, 5, 86, 0, 42, 0, 43, 44, 2, 1
37, 0, 82, 0, 34, -14, 45, 48, 2, 1
56, 0, 81, 0, -6, 11, 25, 88, 64, 4
43, 0, 86, 3, 42, -6, 43, 45, 2, 1
52, 0, 83, 0, 52, -10, 30, 31, 0, 1
45, 1, 87, 0, 44, 0, 42, 43, 2, 1
43, 0, 75, 0, 42, 0, 32, 34, 2, 1
37, -2, 77, 0, 36, 0, 40, 41, 0, 1
56, 2, 77, 0, 16, 0, 22, 62, 40, 4
45, 0, 86, 0, 44, 0, 42, 42, 0, 1
83, 0, 86, 0, -4, -12, 3, 92, 88, 5
56, 0, 78, 0, 6, -15, 22, 73, 50, 4
37, 0, 76, 2565, 20, 0, 40, 55, 16, 1
39, 0, 79, 7, 38, 0, 41, 41, 0, 1
43, 0, 95, 0, 44, 22, 52, 51, 0, 1
54, 0, 81, -3, 54, -4, 27, 27, 0, 1
37, 0, 82, 0, 36, 7, 45, 46, 0, 1
81, 0, 86, 6, -40, 6, 5, 127, 122, 5
49, 3, 78, 0, 50, 7, 29, 29, 0, 1
56, 0, 78, 0, 0, 8, 22, 78, 56, 4
37, 0, 105, -4, 24, 0, 68, 82, 14, 1
47, 0, 86, 1, 46, 0, 40, 40, 0, 1
53, 0, 86, -1, 52, -24, 33, 34, 2, 1
84, 0, 87, -6, 0, 2, 3, 87, 84, 5
37, -1, 106, -2, 36, -4, 69, 69, 0, 1
37, -5, 97, 0, 34, 0, 60, 64, 4, 1
56, -4, 96, 0, 56, 4, 40, 39, 0, 1
37, 0, 100, 0, 30, -30, 64, 69, 6, 1
46, -3, 79, 0, 46, 0, 34, 33, 0, 1
42, 0, 78, -2, 42, 0, 37, 37, 0, 1
53, 0, 80, 0, 54, 6, 27, 26, 0, 1
37, 0, 76, 0, 30, -9, 40, 45, 6, 1
37, 0, 76, 0, 30, -24, 40, 45, 6, 1
45, 0, 83, 7, 44, -1, 38, 39, 2, 1
56, 2, 78, 0, 16, -10, 22, 63, 40, 4
56, 0, 77, -3, 24, -4, 22, 54, 32, 4
37, 0, 76, 0, 36, 0, 39, 40, 0, 1
84, 0, 88, 1, 0, 0, 3, 88, 84, 5
47, 0, 88, 5, 46, 0, 42, 42, 0, 1
47, 1, 81, 0, 46, 0, 34, 34, 0, 1
82, 2, 86, 0, -22, 10, 4, 109, 106, 5
44, 0, 81, -2, 44, 3, 37, 37, 0, 1
51, -3, 84, 0, 52, 0, 33, 32, 0, 1
41, 0, 100, 0, 38, -2, 59, 61, 2, 1
56, 0, 76, 0, -2, 5, 20, 79, 58, 4
55, 0, 96, 0, 50, 25, 41, 47, 6, 4
49, 0, 81, 0, 50, 6, 33, 32, 0, 1
41, 0, 81, 0, 38, -14, 40, 42, 2, 1
48, 2, 83, -1, 46, 0, 34, 36, 2, 1
55, -1, 71, -5, 0, 0, 16, 71, 56, 4
37, 0, 79, 5, 30, -17, 42, 48, 6, 1
53, 3, 84, 0, 54, 25, 31, 30, 0, 1
44, 0, 87, 0, 42, -26, 43, 46, 2, 1
41, -1, 79, 6, 38, -10, 39, 41, 2, 1
43, 0, 81, -1, 44, 27, 37, 37, 0, 1
40, 0, 87, 1, 38, 0, 47, 48, 2, 1
56, 4, 85, 0, 54, -9, 29, 31, 2, 1
45, 1, 84, 0, 44, -6, 39, 41, 2, 1
41, 2, 80, 0, 38, 0, 39, 41, 2, 1
37, -4, 97, 0, 36, 0, 61, 61, 0, 1
41, 0, 82, 0, 42, 31, 41, 41, 0, 1
44, 1, 85, 0, 44, 14, 41, 41, 0, 1
37, 0, 95, 0, 18, -5, 57, 77, 20, 1
37, 0, 106, 0, 24, 9, 69, 82, 14, 1
102, 5, 104, 4, 70, -2, 1, 34, 32, 5
41, 0, 77, 0, 38, -1, 36, 38, 2, 1
44, 2, 102, 0, 42, -18, 59, 61, 2, 1
37, 0, 78, 0, 0, -3, 42, 78, 36, 1
43, 0, 81, 0, 44, 17, 37, 37, 0, 1
37, 0, 77, 0, -20, 2, 41, 98, 58, 1
80, -5, 84, -6, -40, 1, 4, 126, 122, 5
49, 0, 106, -1, 50, 11, 57, 57, 0, 1
58, 0, 80, -6, 56, 0, 22, 23, 0, 1
37, 0, 105, 0, 24, 8, 68, 82, 14, 1
37, 0, 83, 0, 30, -6, 46, 52, 6, 1
56, 0, 81, 0, -10, -11, 25, 91, 66, 4
42, 0, 82, 5, 42, 0, 39, 41, 2, 1
42, -5, 77, 0, 42, 0, 35, 36, 0, 1
55, 0, 99, 0, 50, 10, 43, 49, 6, 4
37, 0, 77, 0, 36, -25, 39, 41, 2, 1
107, 0, 108, 1, 72, 8, 1, 36, 34, 5
56, 0, 86, 0, 56, 19, 30, 29, 0, 1
56, -1, 95, 0, 38, 0, 40, 57, 18, 4
45, 4, 90, 0, 44, -4, 44, 46, 2, 1
37, 0, 80, 0, 18, 6, 43, 62, 18, 1
45, 0, 93, 0, 46, 7, 48, 47, 0, 1
43, 0, 81, 0, 44, 26, 37, 37, 0, 1
55, -5, 78, 0, 24, 0, 23, 55, 32, 4
37, 0, 76, -2, 36, -3, 39, 40, 0, 1
37, 0, 95, -3, 16, 15, 58, 80, 22, 1
37, 0, 79, 0, 6, -1, 43, 74, 32, 1
48, -1, 110, 0, 46, -1, 62, 64, 2, 1
77, 2, 81, 0, -42, 0, 4, 125, 122, 5
55, 0, 78, 6, 10, 12, 23, 68, 46, 4
50, 0, 78, -1, 50, 0, 28, 29, 0, 1
45, 0, 84, 0, 44, 0, 40, 41, 0, 1
56, 0, 80, 0, 6, 1, 24, 75, 50, 4
47, -3, 84, 0, 46, 0, 37, 37, 0, 1
37, 0, 76, 0, 36, 2, 39, 39, 0, 1
38, 2, 77, 0, 36, -18, 39, 41, 2, 1
37, 0, 105, 0, 16, -12, 68, 89, 22, 1
42, 4, 76, 0, 42, 0, 33, 34, 2, 1
37, 0, 78, 0, 2, 3, 41, 75, 34, 1
37, 0, 90, 0, 24, 12, 52, 66, 14, 1
55, 0, 81, 6, 54, 0, 27, 27, 0, 1
39, 5, 106, 0, 38, 0, 68, 67, 0, 1
37, 0, 77, 5, 36, 8, 40, 41, 0, 1
42, -1, 75, 0, 42, 0, 33, 34, 0, 1
38, 0, 86, -1, 38, 0, 48, 47, 0, 1
46, 0, 76, 0, 46, 1, 30, 29, 0, 1
55, 0, 78, -1, 6, -4, 23, 73, 50, 4
37, 0, 77, 0, 24, 3, 40, 54, 14, 1
37, 0, 78, 0, 12, -6, 42, 65, 24, 1
37, 0, 75, 0, 30, 0, 38, 44, 6, 1
52, -4, 82, 0, 52, -2, 29, 30, 0, 1
55, 0, 81, 0, -22, -4, 26, 105, 78, 4
43, -1, 81, 3, 44, 28, 38, 37, 0, 1
49, 0, 84, 0, 46, -23, 35, 37, 2, 1
37, 0, 81, 0, 28, -6, 45, 53, 8, 1
42, 0, 86, 5, 42, 0, 44, 44, 0, 1
42, -2, 87, 0, 42, 0, 45, 46, 0, 1
45, 0, 79, 0, 46, 28, 34, 33, 0, 1
56, 0, 95, 0, 50, 23, 40, 46, 6, 4
37, 0, 90, 0, 30, 18, 53, 59, 6, 1
45, 0, 83, 0, 46, 21, 38, 37, 0, 1
44, 0, 80, 0, 42, -19, 36, 39, 2, 1
47, -1, 85, 4, 46, 0, 38, 39, 0, 1
44, 0, 76, 0, 42, -22, 32, 34, 2, 1
37, 0, 82, -3, -2, 0, 45, 85, 40, 1
37, -2, 106, 0, 30, -190, 69, 75, 6, 1
37, 0, 79, 0, 2, -1, 43, 77, 34, 1
55, -4, 77, 0, 0, 0, 22, 77, 56, 4
45, -4, 79, 0, 44, -10, 33, 35, 2, 1
55, 0, 96, 0, 42, 9, 41, 55, 14, 4
44, 0, 86, 1, 42, -23, 43, 45, 2, 1
37, 0, 94, 0, 10, -5, 57, 84, 26, 1
48, 0, 81, 0, 46, -9, 32, 34, 2, 1
46, 0, 92, 7, 46, 0, 45, 45, 0, 1
51, 0, 88, 3, 52, 4, 36, 36, 0, 1
56, 3, 98, 0, 46, 13, 42, 51, 10, 4
37, 5, 90, -7, 6, 0, 53, 85, 32, 1
49, 0, 83, -2, 50, 39, 34, 34, 0, 1
49, 0, 88, 0, 50, 12, 40, 39, 0, 1
37, 0, 81, 3, 38, 18, 44, 43, 0, 1
37, 0, 106, 1, 26, 24, 68, 80, 12, 1
76, -3, 81, 0, -40, 18, 5, 122, 116, 5
51, 0, 87, 0, 52, 29, 36, 35, 0, 1
55, 0, 77, 2, 0, 0, 22, 77, 56, 4
37, 0, 83, 0, 34, 2, 46, 50, 4, 1
37, 0, 78, 0, 18, 10, 42, 60, 18, 1
107, 4, 108, -1, 70, -1, 1, 38, 36, 5
46, 0, 80, 0, 44, -26, 34, 36, 2, 1
56, 0, 97, 0, 52, 16, 41, 46, 4, 4
46, -1, 88, -6, 46, -5, 41, 41, 0, 1
37, 0, 81, -6, -4, 0, 44, 86, 42, 1
49, -4, 111, 0, 50, 2, 62, 62, 0, 1
37, 0, 77, -5, 12, 0, 41, 65, 24, 1
42, 0, 77, 7, 42, 0, 35, 36, 0, 1
37, 0, 104, -4, 20, 0, 67, 83, 16, 1
54, 0, 83, 3, 54, 0, 29, 29, 0, 1
55, 0, 76, 5, -22, 0, 21, 99, 78, 4
46, 0, 88, 1, 46, 10, 42, 41, 0, 1
43, 0, 85, 0, 42, -10, 42, 44, 2, 1
39, 0, 108, 0, 38, 0, 68, 69, 0, 1
37, 0, 76, -1, 20, -4, 40, 55, 16, 1
51, 0, 88, -3, 50, -13, 37, 39, 2, 1
55, 0, 77, 0, 42, 0, 22, 36, 14, 4
53, 0, 88, 0, 52, -13, 35, 36, 2, 1
82, 0, 86, 0, -10, 0, 4, 96, 92, 5
41, 0, 76, 0, 42, 11, 35, 34, 0, 1
55, 0, 95, 0, 52, -9, 40, 44, 4, 4
57, 10, 76, 12, -4, 0, 19, 81, 62, 4
37, 0, 77, 0, 16, -1, 41, 62, 22, 1
45, 0, 83, -1, 44, -1, 38, 39, 0, 1
56, 0, 92, 0, 0, 1, 36, 92, 56, 4
55, 0, 81, -2, -12, 0, 26, 94, 68, 4
55, -4, 76, 0, -18, 0, 21, 94, 74, 4
48, -1, 81, 0, 46, -11, 33, 35, 2, 1
45, 1, 86, 0, 44, -6, 41, 42, 2, 1
37, 0, 103, -1, 24, -3, 66, 80, 14, 1
44, 0, 86, 0, 44, 22, 42, 42, 0, 1
56, 0, 97, 0, 54, 3, 41, 43, 2, 1
48, -4, 83, 0, 46, 0, 35, 36, 2, 1
44, 0, 76, -5, 44, 0, 31, 32, 0, 1
44, 0, 109, 0, 42, -30, 66, 68, 2, 1
43, 0, 85, -6, 42, 0, 42, 44, 2, 1
57, -4, 86, 0, 56, 0, 29, 29, 0, 1
39, 1, 81, 0, 38, 0, 43, 43, 0, 1
45, 0, 87, -1, 44, -1, 42, 43, 2, 1
37, 0, 78, 0, -6, -22, 42, 86, 44, 1
37, -1, 81, 0, 36, 0, 44, 45, 0, 1
37, -3, 106, -6, 30, -8, 69, 75, 6, 1
37, 0, 80, -7, 34, -4, 43, 46, 2, 1
56, 0, 98, 0, 46, 6, 42, 51, 10, 4
55, 0, 92, -2, 24, -6, 37, 69, 32, 4
53, 0, 84, 0, 54, 2, 32, 30, 0, 1
51, 0, 83, 4, 50, -2, 32, 33, 2, 1
51, 5, 82, 0, 50, 0, 31, 33, 2, 1
53, 0, 85, -3, 54, 0, 32, 31, 0, 1
102, 2, 102, 0, 70, -5, 1, 33, 32, 5
55, 0, 77, 0, 28, 2, 21, 48, 28, 4
37, 0, 79, 0, 24, -6, 42, 55, 14, 1
55, 0, 77, 0, -28, -17, 22, 106, 84, 4
42, 0, 82, 2, 42, 0, 39, 41, 2, 1
49, 2, 106, 0, 46, -10, 58, 60, 2, 1
53, -1, 79, 0, 52, -5, 26, 27, 2, 1
102, 0, 103, 2, 70, -6, 1, 33, 32, 5
52, 1, 91, 0, 52, 0, 39, 39, 0, 1
43, 4, 81, 0, 42, 0, 38, 39, 2, 1
41, 0, 76, 0, 38, -5, 35, 37, 2, 1
45, 3, 84, 0, 44, 0, 38, 40, 2, 1
43, 0, 77, 7, 42, -7, 34, 35, 2, 1
49, 0, 95, 0, 46, -24, 47, 49, 2, 1
44, 0, 80, -4, 44, 1, 36, 36, 0, 1
84, 1, 87, 0, -2, 0, 3, 90, 86, 5
37, 0, 77, 0, 34, 19, 40, 44, 4, 1
49, 0, 79, 1, 50, 7, 30, 30, 0, 1
64, 0, 111, 3, 64, 23, 46, 46, 0, 1
48, 4, 90, 0, 46, 0, 42, 43, 2, 1
42, 2, 78, -1, 42, 0, 36, 37, 2, 1
56, 0, 81, 0, 56, 15, 25, 24, 0, 1
38, 3, 77, 0, 38, 5, 39, 38, 0, 1
46, 4, 81, 0, 46, 6, 35, 34, 0, 1
56, -5, 98, 0, 44, 4, 42, 54, 12, 4
53, 1, 86, 0, 52, -16, 33, 34, 2, 1
43, 0, 81, 5, 42, 0, 38, 40, 2, 1
55, 0, 92, 0, -2, -13, 36, 94, 58, 4
37, 0, 78, 0, 16, 5, 41, 63, 22, 1
45, 0, 81, 0, 44, -20, 35, 37, 2, 1
38, 1, 102, -5, 34, 0, 65, 69, 4, 1
39, -4, 86, 0, 38, 0, 46, 47, 0, 1
53, 0, 86, 0, 52, -16, 33, 34, 2, 1
37, 0, 93, 0, 10, -6, 56, 83, 28, 1
55, 0, 93, 0, 0, -4, 38, 93, 56, 4
37, 0, 84, 0, 26, -1, 47, 58, 10, 1
49, 0, 85, 0, 50, 19, 36, 36, 0, 1
45, -2, 77, 0, 44, -20, 32, 34, 2, 1
40, -2, 106, 0, 38, 0, 66, 67, 2, 1
49, 0, 83, 0, 50, 1, 34, 33, 0, 1
55, 0, 95, 0, 50, 3, 40, 46, 6, 4
47, 0, 87, -7, 46, 0, 40, 41, 0, 1
37, 0, 91, -2, 6, 0, 54, 86, 32, 1
37, -1, 102, 0, 36, 6, 65, 66, 2, 1
38, 2, 79, 0, 38, 20, 41, 40, 0, 1
56, 0, 97, 2, 54, 0, 41, 43, 2, 1
38, -4, 86, 0, 38, 0, 48, 48, 0, 1
41, -3, 79, 0, 42, 0, 38, 38, 0, 1
105, 0, 106, 8, 70, 0, 2, 36, 34, 5
46, -2, 83, 0, 46, 0, 36, 36, 0, 1
82, 3, 86, 5, -40, 0, 5, 128, 124, 5
41, 0, 87, 3, 42, 27, 46, 46, 0, 1
37, 0, 105, 3, 18, 0, 68, 87, 18, 1
56, 0, 97, 0, 42, 20, 41, 55, 14, 4
44, 2, 81, 0, 44, 1, 37, 37, 0, 1
41, 0, 97, 0, 42, 29, 56, 55, 0, 1
48, -1, 84, 0, 46, -3, 36, 38, 2, 1
79, -1, 83, 0, -40, 0, 4, 125, 120, 5
37, 3, 76, 6, 34, 0, 39, 43, 4, 1
84, 0, 88, 0, 2, 0, 3, 85, 82, 5
81, 1, 86, 0, -40, 2, 4, 127, 122, 5
44, 0, 76, 0, 44, 2, 32, 32, 0, 1
